lon,lat,mag,time_string,depth,catalog_id,event_id
-117.4301667,35.6166667,4.73,2019-07-06T03:22:35.630000,9.35,,ci37219500
-117.7365,35.891,4.64,2019-07-06T03:22:48.300000,9.1,,ci37219156
-117.6178333,35.8031667,4.84,2019-07-06T03:23:50.720000,11.44,,ci37219164
-117.6708333,35.8606667,4.61,2019-07-06T03:25:27.970000,10.32,,ci37219172
-117.7258333,35.9138333,4.5,2019-07-06T03:27:07.010000,8.0,,ci37219180
-117.4313333,35.5303333,4.57,2019-07-06T03:27:11.370000,3.83,,ci37219564
-117.7115,35.9028333,4.51,2019-07-06T03:29:32.080000,3.18,,ci38457583
-117.3581667,35.5566667,4.49,2019-07-06T03:30:25.050000,8.71,,ci38457591
-117.7303333,35.8903333,4.17,2019-07-06T03:32:46.660000,6.15,,ci38457599
-117.4668333,35.6521667,4.09,2019-07-06T03:35:05.420000,1.97,,ci38457607
-117.7338333,35.9028333,4.35,2019-07-06T03:36:16.460000,7.27,,ci38457615
-117.722,35.8923333,3.98,2019-07-06T03:41:38.650000,7.87,,ci38457639
-117.6941667,35.9058333,3.96,2019-07-06T03:44:17.710000,6.12,,ci37219924
-117.4703333,35.6805,4.26,2019-07-06T03:46:26.870000,6.85,,ci38457679
-117.7495,35.9011667,5.5,2019-07-06T03:47:53.420000,5.04,,ci38457687
-117.69,35.9025,3.98,2019-07-06T03:48:24.660000,0.5,,ci37220300
-117.7001667,35.9035,4.97,2019-07-06T03:50:59.710000,8.26,,ci38457703
-117.6875,35.9055,4.06,2019-07-06T03:55:20.020000,8.43,,ci38457735
-117.6613333,35.869,4.31,2019-07-06T03:57:50.900000,7.21,,ci37421229
-117.7088333,35.917,3.9,2019-07-06T04:05:49.900000,2.34,,ci37221188
-117.3738333,35.578,3.79,2019-07-06T04:06:14.580000,5.91,,ci38457887
-117.5215,35.5551667,4.68,2019-07-06T04:07:04.570000,5.5,,ci38457775
-117.6946667,35.8646667,3.74,2019-07-06T04:07:15.800000,2.73,,ci37263244
-117.5806667,35.7778333,3.69,2019-07-06T04:10:49.060000,10.58,,ci37221580
-117.6926667,35.9,3.83,2019-07-06T04:11:02.280000,6.48,,ci37221588
